date,state,fips,cases,deaths
2021-06-10,Alabama,01,547135,11252
2021-06-10,Alaska,02,70004,352
2021-06-10,Arizona,04,885412,17742
2021-06-10,Arkansas,05,343216,5856
2021-06-10,California,06,3800049,63647
2021-06-10,Colorado,08,552118,6806
2021-06-10,Connecticut,09,348319,8260
2021-06-10,Delaware,10,109258,1679
2021-06-10,District of Columbia,11,49151,1137
2021-06-10,Florida,12,2329859,36972
2021-06-10,Georgia,13,1103192,20421
2021-06-10,Guam,66,9199,140
2021-06-10,Hawaii,15,35522,502
2021-06-10,Idaho,16,193475,2119
2021-06-10,Illinois,17,1390705,25430
2021-06-10,Indiana,18,751596,13710
2021-06-10,Iowa,19,372333,6095
2021-06-10,Kansas,20,317165,5139
2021-06-10,Kentucky,21,462901,7182
2021-06-10,Louisiana,22,475126,10638
2021-06-10,Maine,23,68449,843
2021-06-10,Maryland,24,461201,9667
2021-06-10,Massachusetts,25,708579,17929
2021-06-10,Michigan,26,994668,20698
2021-06-10,Minnesota,27,603398,7577
2021-06-10,Mississippi,28,318879,7348
2021-06-10,Missouri,29,620295,9789
2021-06-10,Montana,30,112798,1638
2021-06-10,Nebraska,31,223749,2516
2021-06-10,Nevada,32,326878,5621
2021-06-10,New Hampshire,33,99040,1360
2021-06-10,New Jersey,34,1018833,26322
2021-06-10,New Mexico,35,203919,4297
2021-06-10,New York,36,2106056,52927
2021-06-10,North Carolina,37,1008036,13268
2021-06-10,North Dakota,38,110382,1548
2021-06-10,Northern Mariana Islands,69,183,2
2021-06-10,Ohio,39,1106064,20021
2021-06-10,Oklahoma,40,454216,7325
2021-06-10,Oregon,41,204317,2751
2021-06-10,Pennsylvania,42,1212155,27493
2021-06-10,Puerto Rico,72,172805,2525
2021-06-10,Rhode Island,44,152187,2722
2021-06-10,South Carolina,45,594659,9761
2021-06-10,South Dakota,46,124335,2026
2021-06-10,Tennessee,47,850276,12396
2021-06-10,Texas,48,2969114,52019
2021-06-10,Utah,49,408812,2319
2021-06-10,Vermont,50,24314,256
2021-06-10,Virgin Islands,78,3652,28
2021-06-10,Virginia,51,677425,11270
2021-06-10,Washington,53,444852,5846
2021-06-10,West Virginia,54,162845,2848
2021-06-10,Wisconsin,55,676178,8007
2021-06-10,Wyoming,56,61012,725
