date,state,fips,cases,deaths
2021-03-03,Alabama,01,497154,10029
2021-03-03,Alaska,02,58574,291
2021-03-03,Arizona,04,820561,16089
2021-03-03,Arkansas,05,323353,5261
2021-03-03,California,06,3581900,53066
2021-03-03,Colorado,08,434143,6063
2021-03-03,Connecticut,09,283622,7678
2021-03-03,Delaware,10,87425,1440
2021-03-03,District of Columbia,11,40818,1023
2021-03-03,Florida,12,1924106,31266
2021-03-03,Georgia,13,989698,17079
2021-03-03,Guam,66,8714,132
2021-03-03,Hawaii,15,27549,438
2021-03-03,Idaho,16,172442,1879
2021-03-03,Illinois,17,1194960,22853
2021-03-03,Indiana,18,666731,12633
2021-03-03,Iowa,19,338009,5501
2021-03-03,Kansas,20,298178,4816
2021-03-03,Kentucky,21,410874,4853
2021-03-03,Louisiana,22,431771,9668
2021-03-03,Maine,23,45091,705
2021-03-03,Maryland,24,384138,7919
2021-03-03,Massachusetts,25,584743,16252
2021-03-03,Michigan,26,650798,16541
2021-03-03,Minnesota,27,486502,6575
2021-03-03,Mississippi,28,295675,6743
2021-03-03,Missouri,29,518530,8565
2021-03-03,Montana,30,100469,1374
2021-03-03,Nebraska,31,202182,2213
2021-03-03,Nevada,32,294755,4988
2021-03-03,New Hampshire,33,75990,1175
2021-03-03,New Jersey,34,799476,23383
2021-03-03,New Mexico,35,185898,3755
2021-03-03,New York,36,1663505,47464
2021-03-03,North Carolina,37,869999,11389
2021-03-03,North Dakota,38,100097,1478
2021-03-03,Northern Mariana Islands,69,144,2
2021-03-03,Ohio,39,972605,16750
2021-03-03,Oklahoma,40,425746,4534
2021-03-03,Oregon,41,156387,2262
2021-03-03,Pennsylvania,42,943448,24214
2021-03-03,Puerto Rico,72,134380,2048
2021-03-03,Rhode Island,44,127285,2534
2021-03-03,South Carolina,45,519996,8620
2021-03-03,South Dakota,46,112833,1893
2021-03-03,Tennessee,47,764297,11365
2021-03-03,Texas,48,2676258,44627
2021-03-03,Utah,49,372708,1955
2021-03-03,Vermont,50,15487,207
2021-03-03,Virgin Islands,78,2695,25
2021-03-03,Virginia,51,580108,9326
2021-03-03,Washington,53,345193,5075
2021-03-03,West Virginia,54,132416,2309
2021-03-03,Wisconsin,55,619089,7074
2021-03-03,Wyoming,56,54616,682
