date,state,fips,cases,deaths
2021-05-17,Alabama,01,540267,11038
2021-05-17,Alaska,02,69032,347
2021-05-17,Arizona,04,873446,17466
2021-05-17,Arkansas,05,338849,5796
2021-05-17,California,06,3770077,62700
2021-05-17,Colorado,08,535375,6592
2021-05-17,Connecticut,09,345639,8194
2021-05-17,Delaware,10,107089,1651
2021-05-17,District of Columbia,11,48590,1122
2021-05-17,Florida,12,2293972,36132
2021-05-17,Georgia,13,1091492,19860
2021-05-17,Guam,66,9072,140
2021-05-17,Hawaii,15,34247,489
2021-05-17,Idaho,16,190354,2071
2021-05-17,Illinois,17,1371126,24801
2021-05-17,Indiana,18,739327,13486
2021-05-17,Iowa,19,369489,6006
2021-05-17,Kansas,20,314136,5080
2021-05-17,Kentucky,21,455442,6832
2021-05-17,Louisiana,22,465946,10489
2021-05-17,Maine,23,65914,803
2021-05-17,Maryland,24,456408,8932
2021-05-17,Massachusetts,25,702338,17772
2021-05-17,Michigan,26,977992,19799
2021-05-17,Minnesota,27,595109,7389
2021-05-17,Mississippi,28,315026,7257
2021-05-17,Missouri,29,609286,9393
2021-05-17,Montana,30,110825,1598
2021-05-17,Nebraska,31,222512,2364
2021-05-17,Nevada,32,321081,5533
2021-05-17,New Hampshire,33,97774,1333
2021-05-17,New Jersey,34,1011107,25974
2021-05-17,New Mexico,35,201186,4118
2021-05-17,New York,36,2085028,52449
2021-05-17,North Carolina,37,999282,12915
2021-05-17,North Dakota,38,109165,1534
2021-05-17,Northern Mariana Islands,69,172,2
2021-05-17,Ohio,39,1091623,19528
2021-05-17,Oklahoma,40,451278,6878
2021-05-17,Oregon,41,196004,2616
2021-05-17,Pennsylvania,42,1191979,26890
2021-05-17,Puerto Rico,72,170578,2438
2021-05-17,Rhode Island,44,150648,2701
2021-05-17,South Carolina,45,588939,9654
2021-05-17,South Dakota,46,123686,1993
2021-05-17,Tennessee,47,843588,12228
2021-05-17,Texas,48,2931537,51139
2021-05-17,Utah,49,402798,2259
2021-05-17,Vermont,50,23912,252
2021-05-17,Virgin Islands,78,3267,27
2021-05-17,Virginia,51,670465,11029
2021-05-17,Washington,53,425382,5682
2021-05-17,West Virginia,54,158643,2762
2021-05-17,Wisconsin,55,670017,7712
2021-05-17,Wyoming,56,59222,712
