date,state,fips,cases,deaths
2021-04-02,Alabama,01,516266,10607
2021-04-02,Alaska,02,62987,299
2021-04-02,Arizona,04,843132,16989
2021-04-02,Arkansas,05,330753,5639
2021-04-02,California,06,3675326,59574
2021-04-02,Colorado,08,468002,6184
2021-04-02,Connecticut,09,313956,7904
2021-04-02,Delaware,10,95590,1565
2021-04-02,District of Columbia,11,44807,1069
2021-04-02,Florida,12,2071007,33585
2021-04-02,Georgia,13,1038351,18592
2021-04-02,Guam,66,8781,137
2021-04-02,Hawaii,15,30140,460
2021-04-02,Idaho,16,181298,1969
2021-04-02,Illinois,17,1254866,23626
2021-04-02,Indiana,18,692207,13069
2021-04-02,Iowa,19,352714,5754
2021-04-02,Kansas,20,305137,4932
2021-04-02,Kentucky,21,431785,6192
2021-04-02,Louisiana,22,445469,10161
2021-04-02,Maine,23,51189,744
2021-04-02,Maryland,24,414570,8319
2021-04-02,Massachusetts,25,640779,17249
2021-04-02,Michigan,26,759190,17185
2021-04-02,Minnesota,27,524281,6942
2021-04-02,Mississippi,28,305701,7051
2021-04-02,Missouri,29,586634,8985
2021-04-02,Montana,30,104992,1454
2021-04-02,Nebraska,31,211422,2284
2021-04-02,Nevada,32,304478,5260
2021-04-02,New Hampshire,33,85010,1245
2021-04-02,New Jersey,34,918949,24615
2021-04-02,New Mexico,35,192152,3951
2021-04-02,New York,36,1888823,49946
2021-04-02,North Carolina,37,921917,12161
2021-04-02,North Dakota,38,103492,1498
2021-04-02,Northern Mariana Islands,69,159,2
2021-04-02,Ohio,39,1021718,18643
2021-04-02,Oklahoma,40,439149,4953
2021-04-02,Oregon,41,166014,2402
2021-04-02,Pennsylvania,42,1038349,25206
2021-04-02,Puerto Rico,72,142387,2126
2021-04-02,Rhode Island,44,138255,2630
2021-04-02,South Carolina,45,554031,9179
2021-04-02,South Dakota,46,118186,1938
2021-04-02,Tennessee,47,799445,11809
2021-04-02,Texas,48,2799889,48755
2021-04-02,Utah,49,386610,2131
2021-04-02,Vermont,50,19755,228
2021-04-02,Virgin Islands,78,2907,26
2021-04-02,Virginia,51,622339,10279
2021-04-02,Washington,53,369319,5325
2021-04-02,West Virginia,54,142653,2688
2021-04-02,Wisconsin,55,637988,7338
2021-04-02,Wyoming,56,56447,700
