date,state,fips,cases,deaths
2021-04-28,Alabama,01,527083,10879
2021-04-28,Alaska,02,67290,330
2021-04-28,Arizona,04,860772,17282
2021-04-28,Arkansas,05,335289,5726
2021-04-28,California,06,3738220,61565
2021-04-28,Colorado,08,508930,6406
2021-04-28,Connecticut,09,337961,8080
2021-04-28,Delaware,10,103844,1622
2021-04-28,District of Columbia,11,47533,1104
2021-04-28,Florida,12,2222538,35029
2021-04-28,Georgia,13,1072961,19475
2021-04-28,Guam,66,8920,137
2021-04-28,Hawaii,15,32465,479
2021-04-28,Idaho,16,187348,2047
2021-04-28,Illinois,17,1332089,24211
2021-04-28,Indiana,18,720874,13312
2021-04-28,Iowa,19,364033,5931
2021-04-28,Kansas,20,310641,5021
2021-04-28,Kentucky,21,445990,6602
2021-04-28,Louisiana,22,457326,10367
2021-04-28,Maine,23,60691,778
2021-04-28,Maryland,24,445681,8709
2021-04-28,Massachusetts,25,686243,17578
2021-04-28,Michigan,26,927753,18589
2021-04-28,Minnesota,27,572103,7191
2021-04-28,Mississippi,28,311493,7193
2021-04-28,Missouri,29,599393,9230
2021-04-28,Montana,30,108598,1567
2021-04-28,Nebraska,31,219341,2364
2021-04-28,Nevada,32,314475,5448
2021-04-28,New Hampshire,33,94405,1296
2021-04-28,New Jersey,34,993121,25495
2021-04-28,New Mexico,35,197219,4053
2021-04-28,New York,36,2038668,51608
2021-04-28,North Carolina,37,972605,12642
2021-04-28,North Dakota,38,107185,1517
2021-04-28,Northern Mariana Islands,69,164,2
2021-04-28,Ohio,39,1068985,19188
2021-04-28,Oklahoma,40,447642,6788
2021-04-28,Oregon,41,182398,2504
2021-04-28,Pennsylvania,42,1148422,26185
2021-04-28,Puerto Rico,72,163976,2285
2021-04-28,Rhode Island,44,147601,2668
2021-04-28,South Carolina,45,576639,9472
2021-04-28,South Dakota,46,122398,1962
2021-04-28,Tennessee,47,830660,12074
2021-04-28,Texas,48,2886673,50274
2021-04-28,Utah,49,396586,2190
2021-04-28,Vermont,50,22723,246
2021-04-28,Virgin Islands,78,3093,27
2021-04-28,Virginia,51,657367,10787
2021-04-28,Washington,53,401994,5522
2021-04-28,West Virginia,54,152301,2673
2021-04-28,Wisconsin,55,658908,7534
2021-04-28,Wyoming,56,57999,707
