date,state,fips,cases,deaths
2021-03-25,Alabama,01,513138,10504
2021-03-25,Alaska,02,61558,299
2021-03-25,Arizona,04,837987,16874
2021-03-25,Arkansas,05,329511,5571
2021-03-25,California,06,3653287,58386
2021-03-25,Colorado,08,457010,6161
2021-03-25,Connecticut,09,303510,7862
2021-03-25,Delaware,10,93038,1536
2021-03-25,District of Columbia,11,43669,1053
2021-03-25,Florida,12,2027421,32956
2021-03-25,Georgia,13,1026632,18181
2021-03-25,Guam,66,8763,135
2021-03-25,Hawaii,15,29120,455
2021-03-25,Idaho,16,179009,1957
2021-03-25,Illinois,17,1233417,23442
2021-03-25,Indiana,18,684281,12982
2021-03-25,Iowa,19,348499,5708
2021-03-25,Kansas,20,303267,4881
2021-03-25,Kentucky,21,427004,6004
2021-03-25,Louisiana,22,442620,10073
2021-03-25,Maine,23,49190,731
2021-03-25,Maryland,24,404167,8217
2021-03-25,Massachusetts,25,622226,17010
2021-03-25,Michigan,26,712194,16994
2021-03-25,Minnesota,27,510476,6892
2021-03-25,Mississippi,28,303942,6987
2021-03-25,Missouri,29,581612,8903
2021-03-25,Montana,30,103961,1435
2021-03-25,Nebraska,31,207938,2280
2021-03-25,Nevada,32,302209,5215
2021-03-25,New Hampshire,33,82039,1229
2021-03-25,New Jersey,34,881880,24330
2021-03-25,New Mexico,35,190491,3918
2021-03-25,New York,36,1823602,49305
2021-03-25,North Carolina,37,908868,12025
2021-03-25,North Dakota,38,102230,1497
2021-03-25,Northern Mariana Islands,69,159,2
2021-03-25,Ohio,39,1006171,18382
2021-03-25,Oklahoma,40,436504,4850
2021-03-25,Oregon,41,162878,2381
2021-03-25,Pennsylvania,42,1005504,24972
2021-03-25,Puerto Rico,72,138841,2106
2021-03-25,Rhode Island,44,135290,2607
2021-03-25,South Carolina,45,545254,9083
2021-03-25,South Dakota,46,116624,1927
2021-03-25,Tennessee,47,791437,11692
2021-03-25,Texas,48,2771966,47993
2021-03-25,Utah,49,383318,2089
2021-03-25,Vermont,50,18215,223
2021-03-25,Virgin Islands,78,2877,25
2021-03-25,Virginia,51,610263,10147
2021-03-25,Washington,53,361300,5286
2021-03-25,West Virginia,54,139251,2624
2021-03-25,Wisconsin,55,632331,7268
2021-03-25,Wyoming,56,55920,695
