date,state,fips,cases,deaths
2021-04-14,Alabama,01,520780,10728
2021-04-14,Alaska,02,65008,300
2021-04-14,Arizona,04,851276,17109
2021-04-14,Arkansas,05,332666,5680
2021-04-14,California,06,3709256,60683
2021-04-14,Colorado,08,486277,6309
2021-04-14,Connecticut,09,327298,7984
2021-04-14,Delaware,10,99515,1591
2021-04-14,District of Columbia,11,46209,1088
2021-04-14,Florida,12,2141678,34163
2021-04-14,Georgia,13,1054406,18995
2021-04-14,Guam,66,8820,137
2021-04-14,Hawaii,15,31242,470
2021-04-14,Idaho,16,184427,2008
2021-04-14,Illinois,17,1292456,23865
2021-04-14,Indiana,18,705268,13187
2021-04-14,Iowa,19,358395,5858
2021-04-14,Kansas,20,307622,4944
2021-04-14,Kentucky,21,438463,6380
2021-04-14,Louisiana,22,450673,10264
2021-04-14,Maine,23,55374,757
2021-04-14,Maryland,24,430537,8493
2021-04-14,Massachusetts,25,664943,17427
2021-04-14,Michigan,26,850082,17683
2021-04-14,Minnesota,27,547179,7056
2021-04-14,Mississippi,28,308111,7122
2021-04-14,Missouri,29,593882,9101
2021-04-14,Montana,30,106754,1526
2021-04-14,Nebraska,31,215302,2329
2021-04-14,Nevada,32,309159,5353
2021-04-14,New Hampshire,33,89983,1261
2021-04-14,New Jersey,34,963483,24987
2021-04-14,New Mexico,35,194378,3998
2021-04-14,New York,36,1971610,50839
2021-04-14,North Carolina,37,945308,12353
2021-04-14,North Dakota,38,105246,1505
2021-04-14,Northern Mariana Islands,69,160,2
2021-04-14,Ohio,39,1045945,18917
2021-04-14,Oklahoma,40,444288,6697
2021-04-14,Oregon,41,172206,2463
2021-04-14,Pennsylvania,42,1093491,25580
2021-04-14,Puerto Rico,72,151451,2182
2021-04-14,Rhode Island,44,143251,2642
2021-04-14,South Carolina,45,564931,9304
2021-04-14,South Dakota,46,120379,1948
2021-04-14,Tennessee,47,813127,11934
2021-04-14,Texas,48,2841233,49522
2021-04-14,Utah,49,391238,2161
2021-04-14,Vermont,50,21488,237
2021-04-14,Virgin Islands,78,3005,26
2021-04-14,Virginia,51,640211,10510
2021-04-14,Washington,53,382627,5407
2021-04-14,West Virginia,54,147203,2756
2021-04-14,Wisconsin,55,648304,7402
2021-04-14,Wyoming,56,57127,703
