date,state,fips,cases,deaths
2021-05-25,Alabama,01,542562,11124
2021-05-25,Alaska,02,69476,352
2021-05-25,Arizona,04,877682,17569
2021-05-25,Arkansas,05,340515,5824
2021-05-25,California,06,3779843,62978
2021-05-25,Colorado,08,542261,6664
2021-05-25,Connecticut,09,346892,8221
2021-05-25,Delaware,10,108409,1659
2021-05-25,District of Columbia,11,48803,1130
2021-05-25,Florida,12,2313807,36580
2021-05-25,Georgia,13,1096340,20048
2021-05-25,Guam,66,9110,140
2021-05-25,Hawaii,15,34708,493
2021-05-25,Idaho,16,191618,2089
2021-05-25,Illinois,17,1381201,25029
2021-05-25,Indiana,18,744389,13566
2021-05-25,Iowa,19,370875,6039
2021-05-25,Kansas,20,315298,5094
2021-05-25,Kentucky,21,458683,6888
2021-05-25,Louisiana,22,469445,10548
2021-05-25,Maine,23,67132,824
2021-05-25,Maryland,24,458871,9029
2021-05-25,Massachusetts,25,705598,17835
2021-05-25,Michigan,26,987859,20211
2021-05-25,Minnesota,27,599570,7474
2021-05-25,Mississippi,28,316911,7298
2021-05-25,Missouri,29,612800,9618
2021-05-25,Montana,30,111479,1606
2021-05-25,Nebraska,31,223126,2376
2021-05-25,Nevada,32,323022,5563
2021-05-25,New Hampshire,33,98428,1344
2021-05-25,New Jersey,34,1014579,26112
2021-05-25,New Mexico,35,202405,4253
2021-05-25,New York,36,2095438,52638
2021-05-25,North Carolina,37,999342,13027
2021-05-25,North Dakota,38,109743,1537
2021-05-25,Northern Mariana Islands,69,181,2
2021-05-25,Ohio,39,1098594,19753
2021-05-25,Oklahoma,40,452377,6918
2021-05-25,Oregon,41,199408,2654
2021-05-25,Pennsylvania,42,1202166,27137
2021-05-25,Puerto Rico,72,171698,2480
2021-05-25,Rhode Island,44,151502,2707
2021-05-25,South Carolina,45,591525,9705
2021-05-25,South Dakota,46,124023,2004
2021-05-25,Tennessee,47,846891,12300
2021-05-25,Texas,48,2947212,51449
2021-05-25,Utah,49,404880,2292
2021-05-25,Vermont,50,24136,255
2021-05-25,Virgin Islands,78,3383,27
2021-05-25,Virginia,51,673759,11137
2021-05-25,Washington,53,432466,5767
2021-05-25,West Virginia,54,160587,2782
2021-05-25,Wisconsin,55,673236,7760
2021-05-25,Wyoming,56,59870,719
