date,state,fips,cases,deaths
2021-05-23,Alabama,01,542124,11112
2021-05-23,Alaska,02,69329,352
2021-05-23,Arizona,04,876732,17555
2021-05-23,Arkansas,05,340137,5817
2021-05-23,California,06,3777148,62927
2021-05-23,Colorado,08,540406,6649
2021-05-23,Connecticut,09,346325,8212
2021-05-23,Delaware,10,108365,1659
2021-05-23,District of Columbia,11,48748,1127
2021-05-23,Florida,12,2310327,36473
2021-05-23,Georgia,13,1095388,20010
2021-05-23,Guam,66,9103,140
2021-05-23,Hawaii,15,34654,493
2021-05-23,Idaho,16,191139,2082
2021-05-23,Illinois,17,1379411,25001
2021-05-23,Indiana,18,743524,13553
2021-05-23,Iowa,19,370625,6035
2021-05-23,Kansas,20,315046,5092
2021-05-23,Kentucky,21,457993,6875
2021-05-23,Louisiana,22,467815,10522
2021-05-23,Maine,23,66979,820
2021-05-23,Maryland,24,458483,9007
2021-05-23,Massachusetts,25,705142,17823
2021-05-23,Michigan,26,985443,20125
2021-05-23,Minnesota,27,598859,7463
2021-05-23,Mississippi,28,316272,7279
2021-05-23,Missouri,29,612035,9572
2021-05-23,Montana,30,111303,1603
2021-05-23,Nebraska,31,222884,2377
2021-05-23,Nevada,32,322352,5552
2021-05-23,New Hampshire,33,98303,1344
2021-05-23,New Jersey,34,1014088,26079
2021-05-23,New Mexico,35,201868,4133
2021-05-23,New York,36,2093529,52591
2021-05-23,North Carolina,37,996511,12984
2021-05-23,North Dakota,38,109633,1537
2021-05-23,Northern Mariana Islands,69,181,2
2021-05-23,Ohio,39,1097300,19709
2021-05-23,Oklahoma,40,451830,6918
2021-05-23,Oregon,41,198689,2644
2021-05-23,Pennsylvania,42,1200202,27089
2021-05-23,Puerto Rico,72,171378,2472
2021-05-23,Rhode Island,44,151258,2704
2021-05-23,South Carolina,45,590981,9684
2021-05-23,South Dakota,46,123911,2001
2021-05-23,Tennessee,47,845649,12280
2021-05-23,Texas,48,2941993,51381
2021-05-23,Utah,49,404547,2290
2021-05-23,Vermont,50,24106,255
2021-05-23,Virgin Islands,78,3308,27
2021-05-23,Virginia,51,673029,11106
2021-05-23,Washington,53,429526,5747
2021-05-23,West Virginia,54,159735,2772
2021-05-23,Wisconsin,55,672632,7748
2021-05-23,Wyoming,56,59660,713
