date,state,fips,cases,deaths
2021-02-07,Alabama,01,472423,8515
2021-02-07,Alaska,02,54880,269
2021-02-07,Arizona,04,780872,14051
2021-02-07,Arkansas,05,306736,5076
2021-02-07,California,06,3417099,44152
2021-02-07,Colorado,08,407701,5828
2021-02-07,Connecticut,09,259372,7214
2021-02-07,Delaware,10,80594,1208
2021-02-07,District of Columbia,11,38035,952
2021-02-07,Florida,12,1777975,27695
2021-02-07,Georgia,13,917063,14642
2021-02-07,Guam,66,8618,130
2021-02-07,Hawaii,15,26398,415
2021-02-07,Idaho,16,165259,1769
2021-02-07,Illinois,17,1148947,21738
2021-02-07,Indiana,18,642865,11817
2021-02-07,Iowa,19,324590,5108
2021-02-07,Kansas,20,284560,4101
2021-02-07,Kentucky,21,381271,4224
2021-02-07,Louisiana,22,411812,9119
2021-02-07,Maine,23,41218,635
2021-02-07,Maryland,24,363829,7349
2021-02-07,Massachusetts,25,543934,14999
2021-02-07,Michigan,26,620235,15843
2021-02-07,Minnesota,27,468186,6367
2021-02-07,Mississippi,28,281678,6269
2021-02-07,Missouri,29,502432,7562
2021-02-07,Montana,30,95813,1315
2021-02-07,Nebraska,31,193837,2066
2021-02-07,Nevada,32,284137,4521
2021-02-07,New Hampshire,33,68379,1104
2021-02-07,New Jersey,34,722166,21989
2021-02-07,New Mexico,35,177556,3401
2021-02-07,New York,36,1480481,44387
2021-02-07,North Carolina,37,799927,10053
2021-02-07,North Dakota,38,98180,1453
2021-02-07,Northern Mariana Islands,69,133,2
2021-02-07,Ohio,39,920217,11659
2021-02-07,Oklahoma,40,403954,3813
2021-02-07,Oregon,41,147122,2034
2021-02-07,Pennsylvania,42,875557,22493
2021-02-07,Puerto Rico,72,129454,1883
2021-02-07,Rhode Island,44,117891,2212
2021-02-07,South Carolina,45,466373,7651
2021-02-07,South Dakota,46,109229,1809
2021-02-07,Tennessee,47,729389,10370
2021-02-07,Texas,48,2494795,39490
2021-02-07,Utah,49,354608,1736
2021-02-07,Vermont,50,12900,183
2021-02-07,Virgin Islands,78,2466,24
2021-02-07,Virginia,51,529125,6778
2021-02-07,Washington,53,323947,4531
2021-02-07,West Virginia,54,124708,2129
2021-02-07,Wisconsin,55,600782,6617
2021-02-07,Wyoming,56,52627,624
