date,state,fips,cases,deaths
2021-03-11,Alabama,01,502263,10274
2021-03-11,Alaska,02,59689,291
2021-03-11,Arizona,04,830465,16464
2021-03-11,Arkansas,05,326040,5410
2021-03-11,California,06,3615049,55132
2021-03-11,Colorado,08,442599,6108
2021-03-11,Connecticut,09,289392,7761
2021-03-11,Delaware,10,89680,1494
2021-03-11,District of Columbia,11,42128,1038
2021-03-11,Florida,12,1962643,32039
2021-03-11,Georgia,13,1004918,17570
2021-03-11,Guam,66,8727,134
2021-03-11,Hawaii,15,27998,445
2021-03-11,Idaho,16,174729,1909
2021-03-11,Illinois,17,1208072,23122
2021-03-11,Indiana,18,673349,12802
2021-03-11,Iowa,19,341837,5622
2021-03-11,Kansas,20,300302,4851
2021-03-11,Kentucky,21,417631,5052
2021-03-11,Louisiana,22,435935,9828
2021-03-11,Maine,23,46441,723
2021-03-11,Maryland,24,390672,8014
2021-03-11,Massachusetts,25,597073,16551
2021-03-11,Michigan,26,665024,16712
2021-03-11,Minnesota,27,494174,6792
2021-03-11,Mississippi,28,299124,6864
2021-03-11,Missouri,29,572872,8743
2021-03-11,Montana,30,101561,1392
2021-03-11,Nebraska,31,204417,2234
2021-03-11,Nevada,32,297824,5080
2021-03-11,New Hampshire,33,77764,1191
2021-03-11,New Jersey,34,826631,23737
2021-03-11,New Mexico,35,187720,3847
2021-03-11,New York,36,1720456,48208
2021-03-11,North Carolina,37,884684,11649
2021-03-11,North Dakota,38,100757,1485
2021-03-11,Northern Mariana Islands,69,146,2
2021-03-11,Ohio,39,984934,17662
2021-03-11,Oklahoma,40,430944,4701
2021-03-11,Oregon,41,158649,2323
2021-03-11,Pennsylvania,42,963552,24533
2021-03-11,Puerto Rico,72,136022,2073
2021-03-11,Rhode Island,44,130120,2563
2021-03-11,South Carolina,45,529392,8822
2021-03-11,South Dakota,46,114163,1905
2021-03-11,Tennessee,47,773907,11520
2021-03-11,Texas,48,2716807,46168
2021-03-11,Utah,49,376973,2015
2021-03-11,Vermont,50,16500,211
2021-03-11,Virgin Islands,78,2761,25
2021-03-11,Virginia,51,590625,9902
2021-03-11,Washington,53,350661,5167
2021-03-11,West Virginia,54,134496,2338
2021-03-11,Wisconsin,55,623801,7162
2021-03-11,Wyoming,56,55112,691
