date,state,fips,cases,deaths
2021-03-16,Alabama,01,508717,10337
2021-03-16,Alaska,02,60277,292
2021-03-16,Arizona,04,833883,16574
2021-03-16,Arkansas,05,327456,5493
2021-03-16,California,06,3627880,56719
2021-03-16,Colorado,08,447149,6129
2021-03-16,Connecticut,09,293955,7799
2021-03-16,Delaware,10,90751,1514
2021-03-16,District of Columbia,11,42730,1042
2021-03-16,Florida,12,1984417,32448
2021-03-16,Georgia,13,1011361,17735
2021-03-16,Guam,66,8742,135
2021-03-16,Hawaii,15,28357,448
2021-03-16,Idaho,16,176133,1931
2021-03-16,Illinois,17,1215745,23235
2021-03-16,Indiana,18,676799,12876
2021-03-16,Iowa,19,343851,5658
2021-03-16,Kansas,20,301170,4835
2021-03-16,Kentucky,21,420889,5166
2021-03-16,Louisiana,22,438557,9925
2021-03-16,Maine,23,47388,725
2021-03-16,Maryland,24,394900,8080
2021-03-16,Massachusetts,25,604666,16688
2021-03-16,Michigan,26,676467,16796
2021-03-16,Minnesota,27,498994,6817
2021-03-16,Mississippi,28,301250,6929
2021-03-16,Missouri,29,575568,8797
2021-03-16,Montana,30,102469,1397
2021-03-16,Nebraska,31,205646,2238
2021-03-16,Nevada,32,299887,5136
2021-03-16,New Hampshire,33,79070,1202
2021-03-16,New Jersey,34,844563,23966
2021-03-16,New Mexico,35,188664,3862
2021-03-16,New York,36,1755450,48624
2021-03-16,North Carolina,37,892563,11753
2021-03-16,North Dakota,38,101181,1489
2021-03-16,Northern Mariana Islands,69,154,2
2021-03-16,Ohio,39,992223,17992
2021-03-16,Oklahoma,40,433025,4788
2021-03-16,Oregon,41,160084,2348
2021-03-16,Pennsylvania,42,975872,24714
2021-03-16,Puerto Rico,72,136893,2083
2021-03-16,Rhode Island,44,131750,2583
2021-03-16,South Carolina,45,534869,8881
2021-03-16,South Dakota,46,114791,1912
2021-03-16,Tennessee,47,779888,11547
2021-03-16,Texas,48,2738219,46827
2021-03-16,Utah,49,379081,2032
2021-03-16,Vermont,50,17047,215
2021-03-16,Virgin Islands,78,2767,25
2021-03-16,Virginia,51,597141,10104
2021-03-16,Washington,53,353929,5206
2021-03-16,West Virginia,54,136019,2546
2021-03-16,Wisconsin,55,626537,7184
2021-03-16,Wyoming,56,55352,693
