date,state,fips,cases,deaths
2021-04-16,Alabama,01,521623,10739
2021-04-16,Alaska,02,65390,318
2021-04-16,Arizona,04,852584,17153
2021-04-16,Arkansas,05,333186,5692
2021-04-16,California,06,3714406,60883
2021-04-16,Colorado,08,490164,6326
2021-04-16,Connecticut,09,329062,7995
2021-04-16,Delaware,10,100322,1596
2021-04-16,District of Columbia,11,46449,1093
2021-04-16,Florida,12,2155736,34329
2021-04-16,Georgia,13,1057619,19107
2021-04-16,Guam,66,8828,137
2021-04-16,Hawaii,15,31510,471
2021-04-16,Idaho,16,184886,2018
2021-04-16,Illinois,17,1300047,23920
2021-04-16,Indiana,18,707932,13211
2021-04-16,Iowa,19,359260,5878
2021-04-16,Kansas,20,308124,4953
2021-04-16,Kentucky,21,439898,6415
2021-04-16,Louisiana,22,451955,10282
2021-04-16,Maine,23,56525,763
2021-04-16,Maryland,24,433545,8528
2021-04-16,Massachusetts,25,669282,17445
2021-04-16,Michigan,26,867166,17848
2021-04-16,Minnesota,27,552195,7073
2021-04-16,Mississippi,28,308737,7139
2021-04-16,Missouri,29,599136,9111
2021-04-16,Montana,30,107057,1538
2021-04-16,Nebraska,31,215986,2332
2021-04-16,Nevada,32,310235,5365
2021-04-16,New Hampshire,33,90910,1266
2021-04-16,New Jersey,34,971782,25094
2021-04-16,New Mexico,35,194868,4003
2021-04-16,New York,36,1984884,50965
2021-04-16,North Carolina,37,950078,12414
2021-04-16,North Dakota,38,105588,1509
2021-04-16,Northern Mariana Islands,69,162,2
2021-04-16,Ohio,39,1050112,18991
2021-04-16,Oklahoma,40,444863,6697
2021-04-16,Oregon,41,173707,2471
2021-04-16,Pennsylvania,42,1104166,25681
2021-04-16,Puerto Rico,72,152551,2185
2021-04-16,Rhode Island,44,144149,2647
2021-04-16,South Carolina,45,567277,9309
2021-04-16,South Dakota,46,120856,1952
2021-04-16,Tennessee,47,816148,11951
2021-04-16,Texas,48,2847672,49676
2021-04-16,Utah,49,392157,2164
2021-04-16,Vermont,50,21803,242
2021-04-16,Virgin Islands,78,3028,26
2021-04-16,Virginia,51,643220,10549
2021-04-16,Washington,53,385695,5427
2021-04-16,West Virginia,54,148071,2777
2021-04-16,Wisconsin,55,650291,7412
2021-04-16,Wyoming,56,57267,703
