date,state,fips,cases,deaths
2021-03-14,Alabama,01,503673,10327
2021-03-14,Alaska,02,59796,292
2021-03-14,Arizona,04,832743,16553
2021-03-14,Arkansas,05,326943,5474
2021-03-14,California,06,3622863,56499
2021-03-14,Colorado,08,445953,6118
2021-03-14,Connecticut,09,290577,7765
2021-03-14,Delaware,10,90381,1507
2021-03-14,District of Columbia,11,42511,1041
2021-03-14,Florida,12,1976800,32254
2021-03-14,Georgia,13,1008542,17665
2021-03-14,Guam,66,8737,134
2021-03-14,Hawaii,15,28268,448
2021-03-14,Idaho,16,175305,1913
2021-03-14,Illinois,17,1212895,23206
2021-03-14,Indiana,18,675822,12856
2021-03-14,Iowa,19,342886,5642
2021-03-14,Kansas,20,300702,4824
2021-03-14,Kentucky,21,419578,5123
2021-03-14,Louisiana,22,437393,9884
2021-03-14,Maine,23,47025,724
2021-03-14,Maryland,24,393623,8048
2021-03-14,Massachusetts,25,602308,16645
2021-03-14,Michigan,26,669808,16759
2021-03-14,Minnesota,27,497460,6814
2021-03-14,Mississippi,28,300780,6901
2021-03-14,Missouri,29,574796,8770
2021-03-14,Montana,30,101835,1393
2021-03-14,Nebraska,31,205049,2236
2021-03-14,Nevada,32,299326,5119
2021-03-14,New Hampshire,33,78615,1199
2021-03-14,New Jersey,34,838024,23903
2021-03-14,New Mexico,35,188311,3854
2021-03-14,New York,36,1741620,48475
2021-03-14,North Carolina,37,887595,11719
2021-03-14,North Dakota,38,101007,1488
2021-03-14,Northern Mariana Islands,69,154,2
2021-03-14,Ohio,39,989191,17871
2021-03-14,Oklahoma,40,432483,4701
2021-03-14,Oregon,41,159617,2329
2021-03-14,Pennsylvania,42,970914,24576
2021-03-14,Puerto Rico,72,136610,2080
2021-03-14,Rhode Island,44,130502,2567
2021-03-14,South Carolina,45,533421,8875
2021-03-14,South Dakota,46,114623,1912
2021-03-14,Tennessee,47,775773,11536
2021-03-14,Texas,48,2727642,46588
2021-03-14,Utah,49,378379,2027
2021-03-14,Vermont,50,16890,214
2021-03-14,Virgin Islands,78,2767,25
2021-03-14,Virginia,51,594735,10019
2021-03-14,Washington,53,352225,5183
2021-03-14,West Virginia,54,135468,2530
2021-03-14,Wisconsin,55,625556,7178
2021-03-14,Wyoming,56,55163,691
