date,state,fips,cases,deaths
2021-04-19,Alabama,01,522512,10790
2021-04-19,Alaska,02,65835,318
2021-04-19,Arizona,04,854453,17153
2021-04-19,Arkansas,05,333511,5699
2021-04-19,California,06,3720790,61006
2021-04-19,Colorado,08,493933,6337
2021-04-19,Connecticut,09,331401,8014
2021-04-19,Delaware,10,101547,1602
2021-04-19,District of Columbia,11,46740,1096
2021-04-19,Florida,12,2173130,34470
2021-04-19,Georgia,13,1061070,19172
2021-04-19,Guam,66,8848,137
2021-04-19,Hawaii,15,31779,471
2021-04-19,Idaho,16,185364,2024
2021-04-19,Illinois,17,1307764,23976
2021-04-19,Indiana,18,712076,13226
2021-04-19,Iowa,19,360339,5887
2021-04-19,Kansas,20,308518,5005
2021-04-19,Kentucky,21,441014,6442
2021-04-19,Louisiana,22,453351,10293
2021-04-19,Maine,23,57545,767
2021-04-19,Maryland,24,436846,8574
2021-04-19,Massachusetts,25,673974,17481
2021-04-19,Michigan,26,882436,17987
2021-04-19,Minnesota,27,557743,7104
2021-04-19,Mississippi,28,309223,7153
2021-04-19,Missouri,29,593452,9117
2021-04-19,Montana,30,107315,1547
2021-04-19,Nebraska,31,216613,2345
2021-04-19,Nevada,32,310933,5368
2021-04-19,New Hampshire,33,91783,1270
2021-04-19,New Jersey,34,981036,25161
2021-04-19,New Mexico,35,195478,4009
2021-04-19,New York,36,2002053,51122
2021-04-19,North Carolina,37,955836,12443
2021-04-19,North Dakota,38,105836,1510
2021-04-19,Northern Mariana Islands,69,162,2
2021-04-19,Ohio,39,1054807,18991
2021-04-19,Oklahoma,40,445650,6697
2021-04-19,Oregon,41,175680,2474
2021-04-19,Pennsylvania,42,1114472,25744
2021-04-19,Puerto Rico,72,156664,2207
2021-04-19,Rhode Island,44,144966,2651
2021-04-19,South Carolina,45,570032,9352
2021-04-19,South Dakota,46,121189,1953
2021-04-19,Tennessee,47,821538,11986
2021-04-19,Texas,48,2855698,49780
2021-04-19,Utah,49,393018,2166
2021-04-19,Vermont,50,22112,242
2021-04-19,Virgin Islands,78,3041,27
2021-04-19,Virginia,51,647111,10595
2021-04-19,Washington,53,388842,5439
2021-04-19,West Virginia,54,149147,2785
2021-04-19,Wisconsin,55,652158,7421
2021-04-19,Wyoming,56,57378,703
