date,state,fips,cases,deaths
2021-03-04,Alabama,01,498076,10094
2021-03-04,Alaska,02,58722,291
2021-03-04,Arizona,04,821474,16185
2021-03-04,Arkansas,05,323756,5273
2021-03-04,California,06,3587155,53457
2021-03-04,Colorado,08,435448,6066
2021-03-04,Connecticut,09,284500,7693
2021-03-04,Delaware,10,87643,1444
2021-03-04,District of Columbia,11,41014,1024
2021-03-04,Florida,12,1930224,31386
2021-03-04,Georgia,13,992399,17198
2021-03-04,Guam,66,8716,132
2021-03-04,Hawaii,15,27604,438
2021-03-04,Idaho,16,172721,1879
2021-03-04,Illinois,17,1196739,22902
2021-03-04,Indiana,18,667668,12663
2021-03-04,Iowa,19,338588,5536
2021-03-04,Kansas,20,298218,4816
2021-03-04,Kentucky,21,411928,4886
2021-03-04,Louisiana,22,432527,9686
2021-03-04,Maine,23,45227,705
2021-03-04,Maryland,24,384947,7922
2021-03-04,Massachusetts,25,586310,16296
2021-03-04,Michigan,26,652589,16580
2021-03-04,Minnesota,27,487442,6589
2021-03-04,Mississippi,28,296154,6764
2021-03-04,Missouri,29,519108,8571
2021-03-04,Montana,30,100640,1377
2021-03-04,Nebraska,31,202521,2213
2021-03-04,Nevada,32,295179,5005
2021-03-04,New Hampshire,33,76178,1178
2021-03-04,New Jersey,34,802669,23491
2021-03-04,New Mexico,35,186156,3771
2021-03-04,New York,36,1670973,47565
2021-03-04,North Carolina,37,872678,11434
2021-03-04,North Dakota,38,100214,1478
2021-03-04,Northern Mariana Islands,69,144,2
2021-03-04,Ohio,39,974480,16750
2021-03-04,Oklahoma,40,426641,4534
2021-03-04,Oregon,41,156714,2284
2021-03-04,Pennsylvania,42,946455,24265
2021-03-04,Puerto Rico,72,134482,2053
2021-03-04,Rhode Island,44,127727,2539
2021-03-04,South Carolina,45,521563,8660
2021-03-04,South Dakota,46,113065,1896
2021-03-04,Tennessee,47,765869,11407
2021-03-04,Texas,48,2683840,44920
2021-03-04,Utah,49,373319,1965
2021-03-04,Vermont,50,15686,207
2021-03-04,Virgin Islands,78,2704,25
2021-03-04,Virginia,51,581408,9357
2021-03-04,Washington,53,346030,5098
2021-03-04,West Virginia,54,132677,2309
2021-03-04,Wisconsin,55,619942,7087
2021-03-04,Wyoming,56,54685,682
