date,state,fips,cases,deaths
2021-02-16,Alabama,01,482488,9257
2021-02-16,Alaska,02,56504,276
2021-02-16,Arizona,04,799944,14981
2021-02-16,Arkansas,05,313525,5287
2021-02-16,California,06,3498760,47446
2021-02-16,Colorado,08,417688,5932
2021-02-16,Connecticut,09,270822,7449
2021-02-16,Delaware,10,83369,1291
2021-02-16,District of Columbia,11,39131,982
2021-02-16,Florida,12,1837277,29153
2021-02-16,Georgia,13,945339,15691
2021-02-16,Guam,66,8670,131
2021-02-16,Hawaii,15,26819,423
2021-02-16,Idaho,16,168097,1808
2021-02-16,Illinois,17,1167889,22199
2021-02-16,Indiana,18,653713,12231
2021-02-16,Iowa,19,330318,5263
2021-02-16,Kansas,20,290556,4406
2021-02-16,Kentucky,21,394829,4491
2021-02-16,Louisiana,22,420394,9325
2021-02-16,Maine,23,42768,651
2021-02-16,Maryland,24,372403,7612
2021-02-16,Massachusetts,25,560576,15567
2021-02-16,Michigan,26,631394,16138
2021-02-16,Minnesota,27,474689,6448
2021-02-16,Mississippi,28,288714,6501
2021-02-16,Missouri,29,509650,7888
2021-02-16,Montana,30,97759,1332
2021-02-16,Nebraska,31,197904,2128
2021-02-16,Nevada,32,289107,4736
2021-02-16,New Hampshire,33,71215,1136
2021-02-16,New Jersey,34,751065,22497
2021-02-16,New Mexico,35,181061,3552
2021-02-16,New York,36,1553374,45683
2021-02-16,North Carolina,37,831109,10611
2021-02-16,North Dakota,38,98811,1461
2021-02-16,Northern Mariana Islands,69,134,2
2021-02-16,Ohio,39,943291,16453
2021-02-16,Oklahoma,40,414780,4061
2021-02-16,Oregon,41,150875,2138
2021-02-16,Pennsylvania,42,904203,23166
2021-02-16,Puerto Rico,72,131932,1924
2021-02-16,Rhode Island,44,122072,2344
2021-02-16,South Carolina,45,490453,8055
2021-02-16,South Dakota,46,110593,1844
2021-02-16,Tennessee,47,746183,10862
2021-02-16,Texas,48,2575430,41546
2021-02-16,Utah,49,362347,1797
2021-02-16,Vermont,50,13917,191
2021-02-16,Virgin Islands,78,2542,25
2021-02-16,Virginia,51,553308,7037
2021-02-16,Washington,53,333185,4777
2021-02-16,West Virginia,54,128117,2216
2021-02-16,Wisconsin,55,608420,6792
2021-02-16,Wyoming,56,53351,662
