date,state,fips,cases,deaths
2021-03-02,Alabama,01,494421,9991
2021-03-02,Alaska,02,58383,290
2021-03-02,Arizona,04,819281,16065
2021-03-02,Arkansas,05,322949,5254
2021-03-02,California,06,3577497,52774
2021-03-02,Colorado,08,432939,6054
2021-03-02,Connecticut,09,283128,7658
2021-03-02,Delaware,10,87193,1426
2021-03-02,District of Columbia,11,40767,1019
2021-03-02,Florida,12,1918092,31134
2021-03-02,Georgia,13,986968,16936
2021-03-02,Guam,66,8711,132
2021-03-02,Hawaii,15,27532,436
2021-03-02,Idaho,16,172031,1874
2021-03-02,Illinois,17,1192860,22803
2021-03-02,Indiana,18,665962,12623
2021-03-02,Iowa,19,337496,5498
2021-03-02,Kansas,20,297460,4743
2021-03-02,Kentucky,21,409843,4822
2021-03-02,Louisiana,22,431271,9647
2021-03-02,Maine,23,44944,703
2021-03-02,Maryland,24,383352,7905
2021-03-02,Massachusetts,25,582844,16182
2021-03-02,Michigan,26,648990,16534
2021-03-02,Minnesota,27,485723,6558
2021-03-02,Mississippi,28,295295,6724
2021-03-02,Missouri,29,518029,8402
2021-03-02,Montana,30,100272,1373
2021-03-02,Nebraska,31,201894,2210
2021-03-02,Nevada,32,294336,4972
2021-03-02,New Hampshire,33,75803,1170
2021-03-02,New Jersey,34,795785,23321
2021-03-02,New Mexico,35,185542,3742
2021-03-02,New York,36,1656941,47345
2021-03-02,North Carolina,37,867866,11320
2021-03-02,North Dakota,38,99987,1477
2021-03-02,Northern Mariana Islands,69,143,2
2021-03-02,Ohio,39,970583,16750
2021-03-02,Oklahoma,40,424999,4534
2021-03-02,Oregon,41,156088,2231
2021-03-02,Pennsylvania,42,940811,24135
2021-03-02,Puerto Rico,72,134350,2040
2021-03-02,Rhode Island,44,126849,2525
2021-03-02,South Carolina,45,518823,8576
2021-03-02,South Dakota,46,112652,1888
2021-03-02,Tennessee,47,762964,11342
2021-03-02,Texas,48,2668665,44353
2021-03-02,Utah,49,371979,1949
2021-03-02,Vermont,50,15372,206
2021-03-02,Virgin Islands,78,2646,25
2021-03-02,Virginia,51,578559,8943
2021-03-02,Washington,53,344516,5056
2021-03-02,West Virginia,54,132184,2301
2021-03-02,Wisconsin,55,618310,7055
2021-03-02,Wyoming,56,54527,682
