date,state,fips,cases,deaths
2021-04-29,Alabama,01,527513,10887
2021-04-29,Alaska,02,67458,330
2021-04-29,Arizona,04,861653,17305
2021-04-29,Arkansas,05,335529,5735
2021-04-29,California,06,3739598,61647
2021-04-29,Colorado,08,511914,6422
2021-04-29,Connecticut,09,338447,8084
2021-04-29,Delaware,10,104038,1624
2021-04-29,District of Columbia,11,47614,1105
2021-04-29,Florida,12,2228204,35083
2021-04-29,Georgia,13,1074398,19532
2021-04-29,Guam,66,8928,137
2021-04-29,Hawaii,15,32580,480
2021-04-29,Idaho,16,187578,2048
2021-04-29,Illinois,17,1335559,24252
2021-04-29,Indiana,18,722258,13324
2021-04-29,Iowa,19,364476,5931
2021-04-29,Kansas,20,310650,5021
2021-04-29,Kentucky,21,446773,6612
2021-04-29,Louisiana,22,457896,10376
2021-04-29,Maine,23,60945,782
2021-04-29,Maryland,24,446647,8718
2021-04-29,Massachusetts,25,687638,17594
2021-04-29,Michigan,26,931977,18705
2021-04-29,Minnesota,27,574031,7221
2021-04-29,Mississippi,28,311654,7195
2021-04-29,Missouri,29,600129,9237
2021-04-29,Montana,30,108773,1570
2021-04-29,Nebraska,31,219559,2365
2021-04-29,Nevada,32,314928,5459
2021-04-29,New Hampshire,33,94676,1301
2021-04-29,New Jersey,34,995365,25529
2021-04-29,New Mexico,35,197447,4060
2021-04-29,New York,36,2042530,51677
2021-04-29,North Carolina,37,974573,12658
2021-04-29,North Dakota,38,107329,1522
2021-04-29,Northern Mariana Islands,69,164,2
2021-04-29,Ohio,39,1070771,19188
2021-04-29,Oklahoma,40,447931,6788
2021-04-29,Oregon,41,183830,2507
2021-04-29,Pennsylvania,42,1151784,26233
2021-04-29,Puerto Rico,72,164286,2296
2021-04-29,Rhode Island,44,147897,2669
2021-04-29,South Carolina,45,577550,9495
2021-04-29,South Dakota,46,122532,1962
2021-04-29,Tennessee,47,831905,12091
2021-04-29,Texas,48,2890561,50339
2021-04-29,Utah,49,397049,2197
2021-04-29,Vermont,50,22824,246
2021-04-29,Virgin Islands,78,3093,27
2021-04-29,Virginia,51,658341,10751
2021-04-29,Washington,53,403589,5535
2021-04-29,West Virginia,54,152733,2674
2021-04-29,Wisconsin,55,659812,7542
2021-04-29,Wyoming,56,58069,707
