date,state,fips,cases,deaths
2021-03-23,Alabama,01,511789,10450
2021-03-23,Alaska,02,61212,298
2021-03-23,Arizona,04,837244,16798
2021-03-23,Arkansas,05,328946,5547
2021-03-23,California,06,3648056,57909
2021-03-23,Colorado,08,453976,6150
2021-03-23,Connecticut,09,300565,7845
2021-03-23,Delaware,10,92609,1535
2021-03-23,District of Columbia,11,43488,1051
2021-03-23,Florida,12,2016505,32819
2021-03-23,Georgia,13,1023176,18021
2021-03-23,Guam,66,8755,135
2021-03-23,Hawaii,15,28950,451
2021-03-23,Idaho,16,178254,1954
2021-03-23,Illinois,17,1228418,23391
2021-03-23,Indiana,18,682360,12959
2021-03-23,Iowa,19,346985,5683
2021-03-23,Kansas,20,302665,4850
2021-03-23,Kentucky,21,425592,5864
2021-03-23,Louisiana,22,441771,10037
2021-03-23,Maine,23,48773,731
2021-03-23,Maryland,24,401612,8195
2021-03-23,Massachusetts,25,617695,16915
2021-03-23,Michigan,26,701346,16923
2021-03-23,Minnesota,27,507299,6857
2021-03-23,Mississippi,28,303238,6977
2021-03-23,Missouri,29,579616,8881
2021-03-23,Montana,30,103579,1419
2021-03-23,Nebraska,31,207401,2244
2021-03-23,Nevada,32,301519,5188
2021-03-23,New Hampshire,33,81132,1218
2021-03-23,New Jersey,34,873840,24242
2021-03-23,New Mexico,35,190064,3905
2021-03-23,New York,36,1794735,48977
2021-03-23,North Carolina,37,904616,11878
2021-03-23,North Dakota,38,101896,1494
2021-03-23,Northern Mariana Islands,69,158,2
2021-03-23,Ohio,39,1002822,18382
2021-03-23,Oklahoma,40,435634,4788
2021-03-23,Oregon,41,162101,2380
2021-03-23,Pennsylvania,42,997245,24876
2021-03-23,Puerto Rico,72,138503,2100
2021-03-23,Rhode Island,44,134336,2606
2021-03-23,South Carolina,45,542912,9030
2021-03-23,South Dakota,46,116100,1923
2021-03-23,Tennessee,47,788549,11643
2021-03-23,Texas,48,2762748,47701
2021-03-23,Utah,49,382493,2077
2021-03-23,Vermont,50,17933,220
2021-03-23,Virgin Islands,78,2767,25
2021-03-23,Virginia,51,607234,10137
2021-03-23,Washington,53,359290,5249
2021-03-23,West Virginia,54,138429,2613
2021-03-23,Wisconsin,55,630040,7241
2021-03-23,Wyoming,56,55799,695
