date,state,fips,cases,deaths
2021-05-18,Alabama,01,540603,11043
2021-05-18,Alaska,02,69088,351
2021-05-18,Arizona,04,874065,17480
2021-05-18,Arkansas,05,339162,5805
2021-05-18,California,06,3771153,62722
2021-05-18,Colorado,08,536087,6600
2021-05-18,Connecticut,09,345720,8198
2021-05-18,Delaware,10,107175,1651
2021-05-18,District of Columbia,11,48616,1122
2021-05-18,Florida,12,2296777,36226
2021-05-18,Georgia,13,1092264,19886
2021-05-18,Guam,66,9078,140
2021-05-18,Hawaii,15,34300,489
2021-05-18,Idaho,16,190547,2075
2021-05-18,Illinois,17,1372597,24830
2021-05-18,Indiana,18,739811,13507
2021-05-18,Iowa,19,369690,6013
2021-05-18,Kansas,20,314146,5079
2021-05-18,Kentucky,21,455997,6839
2021-05-18,Louisiana,22,466440,10500
2021-05-18,Maine,23,66113,805
2021-05-18,Maryland,24,456619,8945
2021-05-18,Massachusetts,25,702776,17779
2021-05-18,Michigan,26,979534,19886
2021-05-18,Minnesota,27,595625,7403
2021-05-18,Mississippi,28,315634,7268
2021-05-18,Missouri,29,609731,9504
2021-05-18,Montana,30,110965,1602
2021-05-18,Nebraska,31,222612,2364
2021-05-18,Nevada,32,321368,5540
2021-05-18,New Hampshire,33,97904,1339
2021-05-18,New Jersey,34,1011752,25998
2021-05-18,New Mexico,35,201336,4120
2021-05-18,New York,36,2086577,52480
2021-05-18,North Carolina,37,999986,12934
2021-05-18,North Dakota,38,109265,1534
2021-05-18,Northern Mariana Islands,69,174,2
2021-05-18,Ohio,39,1092616,19628
2021-05-18,Oklahoma,40,451349,6878
2021-05-18,Oregon,41,196405,2618
2021-05-18,Pennsylvania,42,1193608,26927
2021-05-18,Puerto Rico,72,170675,2445
2021-05-18,Rhode Island,44,150737,2703
2021-05-18,South Carolina,45,589098,9656
2021-05-18,South Dakota,46,123784,1994
2021-05-18,Tennessee,47,844110,12240
2021-05-18,Texas,48,2934993,51180
2021-05-18,Utah,49,403058,2271
2021-05-18,Vermont,50,23945,254
2021-05-18,Virgin Islands,78,3288,27
2021-05-18,Virginia,51,670854,11042
2021-05-18,Washington,53,426058,5700
2021-05-18,West Virginia,54,158888,2763
2021-05-18,Wisconsin,55,670575,7726
2021-05-18,Wyoming,56,59320,713
