date,state,fips,cases,deaths
2021-05-24,Alabama,01,542256,11112
2021-05-24,Alaska,02,69424,352
2021-05-24,Arizona,04,877182,17555
2021-05-24,Arkansas,05,340186,5820
2021-05-24,California,06,3778572,62946
2021-05-24,Colorado,08,540892,6652
2021-05-24,Connecticut,09,346711,8219
2021-05-24,Delaware,10,108409,1659
2021-05-24,District of Columbia,11,48762,1130
2021-05-24,Florida,12,2311933,36500
2021-05-24,Georgia,13,1095706,20010
2021-05-24,Guam,66,9105,140
2021-05-24,Hawaii,15,34688,493
2021-05-24,Idaho,16,191469,2089
2021-05-24,Illinois,17,1380389,25011
2021-05-24,Indiana,18,743899,13554
2021-05-24,Iowa,19,370715,6035
2021-05-24,Kansas,20,315298,5094
2021-05-24,Kentucky,21,458226,6879
2021-05-24,Louisiana,22,468402,10535
2021-05-24,Maine,23,67071,822
2021-05-24,Maryland,24,458711,9022
2021-05-24,Massachusetts,25,705370,17825
2021-05-24,Michigan,26,986892,20141
2021-05-24,Minnesota,27,599327,7463
2021-05-24,Mississippi,28,316754,7285
2021-05-24,Missouri,29,612340,9578
2021-05-24,Montana,30,111329,1603
2021-05-24,Nebraska,31,223054,2378
2021-05-24,Nevada,32,322757,5559
2021-05-24,New Hampshire,33,98349,1344
2021-05-24,New Jersey,34,1014190,26088
2021-05-24,New Mexico,35,202221,4247
2021-05-24,New York,36,2094493,52621
2021-05-24,North Carolina,37,998658,13010
2021-05-24,North Dakota,38,109663,1537
2021-05-24,Northern Mariana Islands,69,181,2
2021-05-24,Ohio,39,1097867,19709
2021-05-24,Oklahoma,40,452288,6918
2021-05-24,Oregon,41,199046,2651
2021-05-24,Pennsylvania,42,1201370,27089
2021-05-24,Puerto Rico,72,171615,2474
2021-05-24,Rhode Island,44,151440,2705
2021-05-24,South Carolina,45,591365,9690
2021-05-24,South Dakota,46,123942,2004
2021-05-24,Tennessee,47,846478,12293
2021-05-24,Texas,48,2944830,51409
2021-05-24,Utah,49,404695,2292
2021-05-24,Vermont,50,24127,255
2021-05-24,Virgin Islands,78,3383,27
2021-05-24,Virginia,51,673105,11116
2021-05-24,Washington,53,431446,5754
2021-05-24,West Virginia,54,160354,2775
2021-05-24,Wisconsin,55,672801,7749
2021-05-24,Wyoming,56,59797,713
