date,state,fips,cases,deaths
2021-04-22,Alabama,01,525049,10824
2021-04-22,Alaska,02,66370,318
2021-04-22,Arizona,04,856451,17221
2021-04-22,Arkansas,05,334222,5711
2021-04-22,California,06,3727713,61261
2021-04-22,Colorado,08,499513,6360
2021-04-22,Connecticut,09,333732,8039
2021-04-22,Delaware,10,102267,1604
2021-04-22,District of Columbia,11,47040,1098
2021-04-22,Florida,12,2191030,34695
2021-04-22,Georgia,13,1065319,19258
2021-04-22,Guam,66,8878,137
2021-04-22,Hawaii,15,31977,473
2021-04-22,Idaho,16,186081,2029
2021-04-22,Illinois,17,1316497,24056
2021-04-22,Indiana,18,715087,13252
2021-04-22,Iowa,19,361894,5904
2021-04-22,Kansas,20,309069,5002
2021-04-22,Kentucky,21,442918,6494
2021-04-22,Louisiana,22,455000,10324
2021-04-22,Maine,23,58868,769
2021-04-22,Maryland,24,440178,8625
2021-04-22,Massachusetts,25,678386,17515
2021-04-22,Michigan,26,900423,18239
2021-04-22,Minnesota,27,562498,7132
2021-04-22,Mississippi,28,310137,7173
2021-04-22,Missouri,29,591293,9169
2021-04-22,Montana,30,107834,1557
2021-04-22,Nebraska,31,217905,2351
2021-04-22,Nevada,32,312278,5400
2021-04-22,New Hampshire,33,92911,1274
2021-04-22,New Jersey,34,990580,25282
2021-04-22,New Mexico,35,195990,4025
2021-04-22,New York,36,2016244,51299
2021-04-22,North Carolina,37,961474,12534
2021-04-22,North Dakota,38,106416,1515
2021-04-22,Northern Mariana Islands,69,162,2
2021-04-22,Ohio,39,1060119,19033
2021-04-22,Oklahoma,40,446246,6716
2021-04-22,Oregon,41,178110,2484
2021-04-22,Pennsylvania,42,1128144,25934
2021-04-22,Puerto Rico,72,158827,2238
2021-04-22,Rhode Island,44,146028,2660
2021-04-22,South Carolina,45,572248,9388
2021-04-22,South Dakota,46,121651,1956
2021-04-22,Tennessee,47,825274,12035
2021-04-22,Texas,48,2868207,49984
2021-04-22,Utah,49,394398,2178
2021-04-22,Vermont,50,22325,243
2021-04-22,Virgin Islands,78,3068,27
2021-04-22,Virginia,51,650981,10653
2021-04-22,Washington,53,393514,5472
2021-04-22,West Virginia,54,150288,2808
2021-04-22,Wisconsin,55,654681,7438
2021-04-22,Wyoming,56,57613,705
