date,state,fips,cases,deaths
2021-06-07,Alabama,01,546324,11217
2021-06-07,Alaska,02,69886,352
2021-06-07,Arizona,04,884195,17700
2021-06-07,Arkansas,05,342495,5849
2021-06-07,California,06,3796984,63565
2021-06-07,Colorado,08,550200,6768
2021-06-07,Connecticut,09,348088,8253
2021-06-07,Delaware,10,109167,1677
2021-06-07,District of Columbia,11,49110,1136
2021-06-07,Florida,12,2329859,36972
2021-06-07,Georgia,13,1101728,20322
2021-06-07,Guam,66,9179,140
2021-06-07,Hawaii,15,35391,502
2021-06-07,Idaho,16,193107,2108
2021-06-07,Illinois,17,1389551,25372
2021-06-07,Indiana,18,750418,13687
2021-06-07,Iowa,19,372064,6073
2021-06-07,Kansas,20,316840,5136
2021-06-07,Kentucky,21,461810,7146
2021-06-07,Louisiana,22,473777,10619
2021-06-07,Maine,23,68262,839
2021-06-07,Maryland,24,460873,9649
2021-06-07,Massachusetts,25,708195,17915
2021-06-07,Michigan,26,993640,20586
2021-06-07,Minnesota,27,602973,7560
2021-06-07,Mississippi,28,318521,7333
2021-06-07,Missouri,29,618373,9739
2021-06-07,Montana,30,112488,1633
2021-06-07,Nebraska,31,223648,2513
2021-06-07,Nevada,32,326019,5607
2021-06-07,New Hampshire,33,98941,1357
2021-06-07,New Jersey,34,1018112,26285
2021-06-07,New Mexico,35,203686,4288
2021-06-07,New York,36,2104622,52895
2021-06-07,North Carolina,37,1006658,13216
2021-06-07,North Dakota,38,110246,1547
2021-06-07,Northern Mariana Islands,69,183,2
2021-06-07,Ohio,39,1104903,19980
2021-06-07,Oklahoma,40,453890,7316
2021-06-07,Oregon,41,203411,2724
2021-06-07,Pennsylvania,42,1210691,27414
2021-06-07,Puerto Rico,72,172683,2519
2021-06-07,Rhode Island,44,152074,2717
2021-06-07,South Carolina,45,594225,9754
2021-06-07,South Dakota,46,124273,2022
2021-06-07,Tennessee,47,849732,12379
2021-06-07,Texas,48,2958374,51908
2021-06-07,Utah,49,407886,2313
2021-06-07,Vermont,50,24282,256
2021-06-07,Virgin Islands,78,3560,28
2021-06-07,Virginia,51,676831,11245
2021-06-07,Washington,53,441694,5894
2021-06-07,West Virginia,54,162540,2821
2021-06-07,Wisconsin,55,675661,7965
2021-06-07,Wyoming,56,60773,720
