date,state,fips,cases,deaths
2021-06-01,Alabama,01,544045,11156
2021-06-01,Alaska,02,69737,352
2021-06-01,Arizona,04,881454,17628
2021-06-01,Arkansas,05,341450,5834
2021-06-01,California,06,3790903,63259
2021-06-01,Colorado,08,546596,6723
2021-06-01,Connecticut,09,347563,8244
2021-06-01,Delaware,10,108894,1661
2021-06-01,District of Columbia,11,49000,1134
2021-06-01,Florida,12,2326747,36868
2021-06-01,Georgia,13,1099410,20181
2021-06-01,Guam,66,9142,140
2021-06-01,Hawaii,15,35090,497
2021-06-01,Idaho,16,192378,2092
2021-06-01,Illinois,17,1386620,25233
2021-06-01,Indiana,18,747549,13628
2021-06-01,Iowa,19,371473,6057
2021-06-01,Kansas,20,315863,5115
2021-06-01,Kentucky,21,460454,7109
2021-06-01,Louisiana,22,471663,10592
2021-06-01,Maine,23,67819,825
2021-06-01,Maryland,24,460207,9616
2021-06-01,Massachusetts,25,707131,17883
2021-06-01,Michigan,26,991174,20374
2021-06-01,Minnesota,27,601610,7520
2021-06-01,Mississippi,28,317755,7318
2021-06-01,Missouri,29,615677,9676
2021-06-01,Montana,30,111949,1613
2021-06-01,Nebraska,31,223404,2380
2021-06-01,Nevada,32,324262,5590
2021-06-01,New Hampshire,33,98767,1353
2021-06-01,New Jersey,34,1016490,26219
2021-06-01,New Mexico,35,203151,4266
2021-06-01,New York,36,2101111,52784
2021-06-01,North Carolina,37,1003793,13118
2021-06-01,North Dakota,38,109993,1543
2021-06-01,Northern Mariana Islands,69,183,2
2021-06-01,Ohio,39,1102556,19861
2021-06-01,Oklahoma,40,453243,7291
2021-06-01,Oregon,41,201701,2703
2021-06-01,Pennsylvania,42,1207596,27270
2021-06-01,Puerto Rico,72,172372,2505
2021-06-01,Rhode Island,44,151844,2712
2021-06-01,South Carolina,45,593262,9736
2021-06-01,South Dakota,46,124191,2014
2021-06-01,Tennessee,47,848552,12356
2021-06-01,Texas,48,2952227,51689
2021-06-01,Utah,49,406352,2302
2021-06-01,Vermont,50,24224,255
2021-06-01,Virgin Islands,78,3465,27
2021-06-01,Virginia,51,675597,11194
2021-06-01,Washington,53,438893,5833
2021-06-01,West Virginia,54,161858,2797
2021-06-01,Wisconsin,55,674693,7875
2021-06-01,Wyoming,56,60144,719
