date,state,fips,cases,deaths
2021-03-05,Alabama,01,498887,10122
2021-03-05,Alaska,02,58870,292
2021-03-05,Arizona,04,823384,16272
2021-03-05,Arkansas,05,324326,5283
2021-03-05,California,06,3592219,53838
2021-03-05,Colorado,08,436848,6075
2021-03-05,Connecticut,09,285330,7704
2021-03-05,Delaware,10,87874,1453
2021-03-05,District of Columbia,11,41122,1027
2021-03-05,Florida,12,1936199,31521
2021-03-05,Georgia,13,994416,17260
2021-03-05,Guam,66,8716,132
2021-03-05,Hawaii,15,27693,440
2021-03-05,Idaho,16,172929,1880
2021-03-05,Illinois,17,1198242,22946
2021-03-05,Indiana,18,668520,12697
2021-03-05,Iowa,19,339121,5549
2021-03-05,Kansas,20,298897,4812
2021-03-05,Kentucky,21,412863,4912
2021-03-05,Louisiana,22,433045,9716
2021-03-05,Maine,23,45452,704
2021-03-05,Maryland,24,385860,7930
2021-03-05,Massachusetts,25,588209,16322
2021-03-05,Michigan,26,654355,16591
2021-03-05,Minnesota,27,488238,6602
2021-03-05,Mississippi,28,296745,6783
2021-03-05,Missouri,29,519653,8599
2021-03-05,Montana,30,100798,1381
2021-03-05,Nebraska,31,202871,2222
2021-03-05,Nevada,32,295571,5024
2021-03-05,New Hampshire,33,76422,1178
2021-03-05,New Jersey,34,806367,23521
2021-03-05,New Mexico,35,186460,3789
2021-03-05,New York,36,1679124,47672
2021-03-05,North Carolina,37,874780,11475
2021-03-05,North Dakota,38,100308,1478
2021-03-05,Northern Mariana Islands,69,144,2
2021-03-05,Ohio,39,976230,17502
2021-03-05,Oklahoma,40,427558,4534
2021-03-05,Oregon,41,156985,2301
2021-03-05,Pennsylvania,42,949223,24311
2021-03-05,Puerto Rico,72,134681,2056
2021-03-05,Rhode Island,44,128121,2541
2021-03-05,South Carolina,45,523258,8699
2021-03-05,South Dakota,46,113229,1896
2021-03-05,Tennessee,47,767073,11439
2021-03-05,Texas,48,2689417,45195
2021-03-05,Utah,49,373868,1970
2021-03-05,Vermont,50,15819,207
2021-03-05,Virgin Islands,78,2714,25
2021-03-05,Virginia,51,583060,9428
2021-03-05,Washington,53,346733,5104
2021-03-05,West Virginia,54,132964,2318
2021-03-05,Wisconsin,55,620663,7099
2021-03-05,Wyoming,56,54764,682
