date,state,fips,cases,deaths
2021-06-06,Alabama,01,545585,11198
2021-06-06,Alaska,02,69886,352
2021-06-06,Arizona,04,883821,17700
2021-06-06,Arkansas,05,342433,5846
2021-06-06,California,06,3795820,63544
2021-06-06,Colorado,08,549873,6755
2021-06-06,Connecticut,09,347891,8246
2021-06-06,Delaware,10,109126,1677
2021-06-06,District of Columbia,11,49068,1136
2021-06-06,Florida,12,2329859,36972
2021-06-06,Georgia,13,1101460,20322
2021-06-06,Guam,66,9173,140
2021-06-06,Hawaii,15,35360,502
2021-06-06,Idaho,16,192870,2103
2021-06-06,Illinois,17,1389287,25352
2021-06-06,Indiana,18,749890,13685
2021-06-06,Iowa,19,372029,6072
2021-06-06,Kansas,20,316626,5121
2021-06-06,Kentucky,21,461712,7140
2021-06-06,Louisiana,22,472981,10615
2021-06-06,Maine,23,68232,839
2021-06-06,Maryland,24,460789,9645
2021-06-06,Massachusetts,25,708083,17911
2021-06-06,Michigan,26,993191,20573
2021-06-06,Minnesota,27,602779,7558
2021-06-06,Mississippi,28,318189,7325
2021-06-06,Missouri,29,617909,9737
2021-06-06,Montana,30,112366,1632
2021-06-06,Nebraska,31,223558,2512
2021-06-06,Nevada,32,325392,5600
2021-06-06,New Hampshire,33,98877,1355
2021-06-06,New Jersey,34,1017904,26279
2021-06-06,New Mexico,35,203472,4282
2021-06-06,New York,36,2104103,52885
2021-06-06,North Carolina,37,1005427,13168
2021-06-06,North Dakota,38,110230,1547
2021-06-06,Northern Mariana Islands,69,183,2
2021-06-06,Ohio,39,1104648,19980
2021-06-06,Oklahoma,40,453552,7316
2021-06-06,Oregon,41,203252,2719
2021-06-06,Pennsylvania,42,1210213,27408
2021-06-06,Puerto Rico,72,172619,2518
2021-06-06,Rhode Island,44,151992,2717
2021-06-06,South Carolina,45,594130,9754
2021-06-06,South Dakota,46,124261,2022
2021-06-06,Tennessee,47,849400,12376
2021-06-06,Texas,48,2957565,51891
2021-06-06,Utah,49,407712,2311
2021-06-06,Vermont,50,24252,256
2021-06-06,Virgin Islands,78,3512,28
2021-06-06,Virginia,51,676741,11236
2021-06-06,Washington,53,441888,5881
2021-06-06,West Virginia,54,162232,2813
2021-06-06,Wisconsin,55,675363,7954
2021-06-06,Wyoming,56,60623,720
